Transaction_Date,Project_Name,Department,Expense_Type,Budget_Amount,Actual_Amount
2026-03-31,Franchise Shorts,Anim & Production,Labor - Internal,90463.75,113079.69
2026-01-30,Franchise Shorts,Animation & Prod,Compute/Cloud Infrastructure,360666.31,378699.63
03/18/2026,Franchise Shorts,Post-Prod & Sound,Vendor Contract,477080.08,667912.11
2026-02-20,Toy Story 5,Marketing,Vendor Contract,428578.48,"$364,291.71"
2026-03-05,Project Hoppers,Post-Prod & Sound,Labor - Internal,233827.74,292284.67
2026-03-17,Toy Story 5,Animation & Prod,Equipment Lease,447166.44,558958.05
02/28/2026,Project Elio,Anim & Production,Travel & Casting,339132.6,288262.71
2026-03-08,Project Elio,Tech Ops - Render,Equipment Lease,442841.3,619977.82
02/09/2026,Toy Story 5,Animation & Prod,Vendor Contract,427473.28,534341.6
2026-02-07,Project Elio,RENDERING,Compute/Cloud Infrastructure,260358.58,364502.01
2026-02-20,Franchise Shorts,Marketing,Equipment Lease,257298.94,270163.89
2026-03-28,Toy Story 5,Anim & Production,Equipment Lease,"$62,943.75",53502.19
2026-02-12,Franchise Shorts,Pre-Production & Story,Travel & Casting,381251.43,533752.0
2026-01-12,Project Elio,Tech Ops - Render,Vendor Contract,"$201,868.12",211961.53
2026-02-24,Project Elio,Animation & Prod,Labor - Internal,142370.47,135251.95
2026-02-11,Project Hoppers,RENDERING,Travel & Casting,475167.49,403892.37
2026-01-22,Project Hoppers,Anim & Production,Labor - Internal,328926.52,312480.19
2026-02-23,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,"$388,923.48",486154.35
2026-01-11,Toy Story 5,Anim & Production,Travel & Casting,263984.75,224387.04
2026-03-19,Project Hoppers,Anim & Production,Labor - Internal,71098.81,74653.75
2026-01-19,Project Elio,RENDERING,Compute/Cloud Infrastructure,123967.96,173555.14
02/10/2026,Project Elio,Pre-Production & Story,Labor - Internal,349995.51,"$437,494.39"
2026-01-02,Project Hoppers,Tech Ops - Render,Equipment Lease,117010.75,99459.14
2026-03-18,Project Hoppers,Tech Ops - Render,Equipment Lease,141586.12,198220.57
2026-03-05,Project Hoppers,Post-Prod & Sound,Labor - Internal,452388.09,475007.49
2026-01-08,Franchise Shorts,Animation & Prod,Vendor Contract,495289.28,693404.99
2026-03-15,Project Elio,Anim & Production,Travel & Casting,449951.55,-382458.82
2026-03-16,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,237462.46,201843.09
2026-01-02,Project Elio,RENDERING,Compute/Cloud Infrastructure,88741.19,124237.67
2026-01-08,Toy Story 5,Marketing,Equipment Lease,68954.47,72402.19
02/11/2026,Toy Story 5,Marketing,Compute/Cloud Infrastructure,"$185,480.88",176206.84
2026-02-14,Project Elio,Anim & Production,Labor - Internal,45103.81,47359.0
2026-01-01,Toy Story 5,Anim & Production,Equipment Lease,69462.3,59042.96
03/22/2026,Toy Story 5,RENDERING,Equipment Lease,235913.07,247708.72
2026-02-04,Project Hoppers,Anim & Production,Vendor Contract,"$277,688.91",236035.57
2026-03-09,Project Elio,Anim & Production,Equipment Lease,33071.29,"$41,339.11"
2026-02-03,Franchise Shorts,Marketing,Travel & Casting,451438.81,"$632,014.33"
02/16/2026,Project Elio,Animation & Prod,Labor - Internal,455645.75,637904.05
2026-03-06,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,306100.96,382626.2
03/17/2026,Project Elio,Pre-Production & Story,Compute/Cloud Infrastructure,203329.23,254161.54
2026-02-20,Project Hoppers,Animation & Prod,Travel & Casting,210687.84,221222.23
2026-03-07,Franchise Shorts,RENDERING,Compute/Cloud Infrastructure,70347.7,73865.09
2026-01-18,Franchise Shorts,Tech Ops - Render,Compute/Cloud Infrastructure,62852.12,78565.15
2026-02-05,,RENDERING,Compute/Cloud Infrastructure,271171.05,338963.81
2026-03-19,,Post-Prod & Sound,Vendor Contract,412021.79,576830.51
2026-01-09,Franchise Shorts,Tech Ops - Render,Equipment Lease,294029.64,411641.5
2026-03-19,Project Elio,Anim & Production,Compute/Cloud Infrastructure,217872.5,272340.62
03/23/2026,Project Hoppers,Animation & Prod,Compute/Cloud Infrastructure,352364.16,440455.2
2026-03-10,Project Hoppers,Pre-Production & Story,Vendor Contract,21516.45,-26895.56
2026-03-02,Franchise Shorts,Anim & Production,Vendor Contract,123122.19,116966.08
2026-01-19,Toy Story 5,Anim & Production,Vendor Contract,342592.04,428240.05
01/24/2026,Project Hoppers,Marketing,Labor - Internal,134493.66,127768.98
2026-03-11,Toy Story 5,RENDERING,Travel & Casting,303844.65,"$258,267.95"
2026-03-16,Project Hoppers,Marketing,Travel & Casting,415982.05,353584.74
2026-02-15,Franchise Shorts,Marketing,Vendor Contract,352228.88,493120.43
2026-01-30,Project Elio,Animation & Prod,Travel & Casting,"$262,102.62",327628.28
2026-01-05,Franchise Shorts,Animation & Prod,Travel & Casting,417928.28,522410.35
2026-03-28,Toy Story 5,Marketing,Equipment Lease,"$61,405.52",58335.24
2026-02-16,Franchise Shorts,Animation & Prod,Travel & Casting,478535.62,669949.87
2026-03-26,Franchise Shorts,Animation & Prod,Vendor Contract,"$156,610.07",148779.57
2026-03-24,Project Elio,Anim & Production,Vendor Contract,448290.06,425875.56
2026-01-19,Project Hoppers,Post-Prod & Sound,Compute/Cloud Infrastructure,410989.28,513736.6
2026-02-26,Toy Story 5,Post-Prod & Sound,Travel & Casting,233049.27,198091.88
2026-03-06,,RENDERING,Equipment Lease,462564.42,647590.19
2026-03-04,Franchise Shorts,Tech Ops - Render,Vendor Contract,354630.22,301435.69
2026-01-28,Project Hoppers,Anim & Production,Compute/Cloud Infrastructure,27171.5,23095.77
2026-01-13,Project Elio,Post-Prod & Sound,Equipment Lease,468418.26,398155.52
2026-03-21,,Marketing,Labor - Internal,376794.52,320275.34
2026-02-11,Toy Story 5,Pre-Production & Story,Vendor Contract,464118.81,"$440,912.87"
2026-02-20,Project Elio,Post-Prod & Sound,Equipment Lease,185426.76,194698.1
2026-03-21,Project Hoppers,Post-Prod & Sound,Labor - Internal,56741.48,"$48,230.26"
2026-01-10,Project Hoppers,Marketing,Labor - Internal,26277.34,27591.21
2026-03-09,Project Hoppers,Post-Prod & Sound,Vendor Contract,452856.14,633998.6
2026-01-24,Toy Story 5,RENDERING,Equipment Lease,402887.46,342454.34
2026-03-04,Project Hoppers,Tech Ops - Render,Equipment Lease,491712.67,516298.3
03/09/2026,Project Hoppers,Tech Ops - Render,Travel & Casting,"$273,763.29",287451.45
03/06/2026,Toy Story 5,RENDERING,Equipment Lease,369611.81,"$517,456.53"
2026-02-16,Project Hoppers,Pre-Production & Story,Vendor Contract,299479.3,374349.12
03/23/2026,Toy Story 5,Anim & Production,Labor - Internal,"$174,864.89",148635.16
2026-02-21,Project Elio,RENDERING,Labor - Internal,460475.56,483499.34
2026-03-20,Project Hoppers,Pre-Production & Story,Equipment Lease,104909.5,110154.98
2026-03-30,Toy Story 5,Post-Prod & Sound,Vendor Contract,333106.28,416382.85
01/24/2026,Project Elio,Anim & Production,Compute/Cloud Infrastructure,409937.7,573912.78
2026-01-01,Toy Story 5,RENDERING,Equipment Lease,330702.34,314167.22
2026-03-20,Toy Story 5,Tech Ops - Render,Vendor Contract,"$257,266.64",218676.64
2026-03-03,Toy Story 5,RENDERING,Vendor Contract,94175.83,131846.16
2026-03-17,Project Elio,Anim & Production,Vendor Contract,"$345,395.31",483553.43
02/26/2026,Project Elio,Pre-Production & Story,Compute/Cloud Infrastructure,439814.49,"$461,805.21"
2026-03-24,Franchise Shorts,Pre-Production & Story,Equipment Lease,471515.69,660121.97
02/18/2026,Project Elio,Tech Ops - Render,Labor - Internal,83639.9,87821.9
2026-01-07,Franchise Shorts,Marketing,Travel & Casting,100270.04,125337.55
2026-01-21,Franchise Shorts,Post-Prod & Sound,Travel & Casting,"$75,780.90",106093.26
2026-02-22,Project Elio,Post-Prod & Sound,Equipment Lease,170732.73,239025.82
2026-02-23,Project Hoppers,Tech Ops - Render,Vendor Contract,283476.54,-269302.71
2026-03-14,Toy Story 5,Anim & Production,Labor - Internal,427069.88,533837.35
2026-01-31,Project Hoppers,Marketing,Travel & Casting,129940.16,110449.14
03/24/2026,Project Hoppers,Anim & Production,Travel & Casting,"$477,450.20",596812.75
2026-02-14,Franchise Shorts,Tech Ops - Render,Travel & Casting,312839.29,297197.33
2026-03-12,Toy Story 5,Post-Prod & Sound,Equipment Lease,"$270,075.77",229564.4
2026-03-12,Project Elio,Tech Ops - Render,Travel & Casting,366136.99,457671.24
2026-02-14,Project Hoppers,RENDERING,Compute/Cloud Infrastructure,"$290,185.72",304695.01
2026-02-18,,RENDERING,Vendor Contract,27311.86,34139.82
03/29/2026,Project Elio,RENDERING,Equipment Lease,418427.69,397506.31
2026-03-31,Franchise Shorts,Tech Ops - Render,Compute/Cloud Infrastructure,174527.58,218159.47
2026-03-11,Toy Story 5,Marketing,Compute/Cloud Infrastructure,134682.76,"$188,555.86"
2026-02-16,Project Hoppers,Post-Prod & Sound,Compute/Cloud Infrastructure,69510.5,-66034.97
2026-02-21,Toy Story 5,Tech Ops - Render,Vendor Contract,320119.07,304113.12
2026-02-15,Toy Story 5,Animation & Prod,Equipment Lease,304389.0,319608.45
2026-03-14,Toy Story 5,Anim & Production,Travel & Casting,"$137,914.87",193080.82
2026-01-07,Toy Story 5,Tech Ops - Render,Travel & Casting,46635.94,44304.14
03/11/2026,Project Hoppers,Post-Prod & Sound,Travel & Casting,445836.86,468128.7
2026-01-20,Project Elio,Pre-Production & Story,Labor - Internal,365769.29,457211.61
2026-02-19,Project Elio,Tech Ops - Render,Equipment Lease,"$404,120.98",343502.83
03/09/2026,Project Hoppers,Marketing,Labor - Internal,22465.17,28081.46
2026-03-23,Project Hoppers,Tech Ops - Render,Labor - Internal,347004.54,"$364,354.77"
2026-03-12,Toy Story 5,Tech Ops - Render,Travel & Casting,73235.62,76897.4
2026-03-17,Toy Story 5,Tech Ops - Render,Compute/Cloud Infrastructure,378951.83,473689.79
2026-01-21,Project Elio,Pre-Production & Story,Equipment Lease,56433.78,47968.71
2026-03-14,Franchise Shorts,Marketing,Compute/Cloud Infrastructure,293740.31,411236.43
2026-01-15,Project Elio,Animation & Prod,Equipment Lease,122672.86,128806.5
2026-03-06,,Marketing,Equipment Lease,"$344,339.95",292688.96
2026-02-07,Toy Story 5,Post-Prod & Sound,Vendor Contract,130560.49,110976.42
2026-01-15,,Tech Ops - Render,Compute/Cloud Infrastructure,480598.06,456568.16
2026-03-05,Toy Story 5,Anim & Production,Vendor Contract,425321.02,595449.43
2026-02-16,Project Hoppers,Tech Ops - Render,Equipment Lease,149718.17,142232.26
2026-01-30,Project Hoppers,RENDERING,Vendor Contract,"$253,424.21",240753.0
2026-03-01,Toy Story 5,Tech Ops - Render,Compute/Cloud Infrastructure,240414.54,"$336,580.36"
2026-03-03,Project Elio,Animation & Prod,Equipment Lease,"$371,153.28","$519,614.59"
2026-03-15,Project Elio,Marketing,Labor - Internal,367744.57,514842.4
2026-03-14,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,354723.0,496612.2
2026-03-04,Project Hoppers,Pre-Production & Story,Labor - Internal,47151.46,40078.74
2026-02-04,Project Elio,Tech Ops - Render,Vendor Contract,173142.44,147171.07
2026-03-17,Toy Story 5,Pre-Production & Story,Compute/Cloud Infrastructure,291824.02,306415.22
2026-01-26,Project Elio,Marketing,Equipment Lease,215137.15,268921.44
2026-01-15,Project Hoppers,Marketing,Travel & Casting,"$414,564.63",518205.79
2026-03-07,Franchise Shorts,Post-Prod & Sound,Labor - Internal,469313.78,445848.09
2026-03-04,Project Elio,Anim & Production,Travel & Casting,168417.73,"$143,155.07"
2026-01-17,Franchise Shorts,Pre-Production & Story,Vendor Contract,400844.6,"$420,886.83"
2026-01-26,Project Elio,Post-Prod & Sound,Labor - Internal,"$411,475.54",349754.21
2026-02-05,,Anim & Production,Labor - Internal,"$125,342.61",119075.48
2026-01-14,Franchise Shorts,Pre-Production & Story,Labor - Internal,486660.73,413661.62
2026-01-08,Project Hoppers,Marketing,Travel & Casting,74817.22,63594.64
2026-01-09,Franchise Shorts,Marketing,Equipment Lease,187011.16,177660.6
2026-01-11,Franchise Shorts,Pre-Production & Story,Equipment Lease,343094.25,"$360,248.96"
2026-02-09,Toy Story 5,Post-Prod & Sound,Vendor Contract,374944.61,393691.84
2026-03-30,Project Hoppers,Pre-Production & Story,Labor - Internal,170935.33,-145295.03
2026-03-15,Franchise Shorts,RENDERING,Travel & Casting,82598.43,70208.67
2026-02-24,Project Elio,Anim & Production,Compute/Cloud Infrastructure,117967.92,123866.32
03/20/2026,Toy Story 5,Pre-Production & Story,Travel & Casting,89591.49,85111.92
2026-02-04,Project Elio,Pre-Production & Story,Compute/Cloud Infrastructure,30260.4,42364.56
2026-03-06,Project Hoppers,Tech Ops - Render,Vendor Contract,"$146,208.87",153519.31
2026-02-10,Project Elio,Tech Ops - Render,Labor - Internal,71972.06,68373.46
2026-01-27,Project Elio,Pre-Production & Story,Labor - Internal,353517.63,335841.75
2026-01-10,Franchise Shorts,Pre-Production & Story,Compute/Cloud Infrastructure,"$92,325.43",78476.62
2026-01-01,Project Hoppers,Post-Prod & Sound,Labor - Internal,277490.2,388486.28
2026-02-13,Franchise Shorts,Animation & Prod,Travel & Casting,200192.72,"$280,269.81"
2026-01-14,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,160615.15,200768.94
2026-02-05,Toy Story 5,Animation & Prod,Equipment Lease,362593.12,"$507,630.37"
03/14/2026,Project Hoppers,Anim & Production,Travel & Casting,"$74,494.34","$63,320.19"
03/14/2026,,Pre-Production & Story,Vendor Contract,358778.28,448472.85
01/25/2026,Project Hoppers,RENDERING,Labor - Internal,"$67,596.11",84495.14
2026-02-11,Project Elio,Tech Ops - Render,Travel & Casting,107835.48,"$134,794.35"
2026-01-25,Franchise Shorts,Animation & Prod,Compute/Cloud Infrastructure,"$363,707.62",345522.24
01/30/2026,Franchise Shorts,RENDERING,Equipment Lease,464155.5,440947.72
2026-03-25,Toy Story 5,Marketing,Vendor Contract,489637.04,"$465,155.19"
2026-01-19,Project Elio,Pre-Production & Story,Equipment Lease,251363.99,351909.59
2026-03-25,Franchise Shorts,Pre-Production & Story,Vendor Contract,191693.04,162939.08
2026-02-06,Toy Story 5,Tech Ops - Render,Travel & Casting,356825.8,374667.09
2026-01-14,Franchise Shorts,Pre-Production & Story,Labor - Internal,112886.01,95953.11
2026-03-08,Toy Story 5,Pre-Production & Story,Compute/Cloud Infrastructure,106915.93,90878.54
2026-02-24,Project Hoppers,Tech Ops - Render,Vendor Contract,170688.36,238963.7
2026-01-19,,Animation & Prod,Travel & Casting,"$242,644.81",230512.57
2026-01-27,Toy Story 5,Post-Prod & Sound,Travel & Casting,"$481,080.70",457026.66
2026-03-04,Toy Story 5,Animation & Prod,Equipment Lease,350359.62,437949.53
2026-03-12,Project Elio,Animation & Prod,Vendor Contract,"$30,450.37",31972.89
01/10/2026,Toy Story 5,Animation & Prod,Compute/Cloud Infrastructure,35056.0,33303.2
2026-02-08,Project Hoppers,Tech Ops - Render,Equipment Lease,264597.02,370435.83
2026-01-02,Project Hoppers,Marketing,Vendor Contract,354839.89,443549.86
2026-02-06,Project Elio,Pre-Production & Story,Equipment Lease,29496.52,36870.65
03/07/2026,Toy Story 5,Pre-Production & Story,Labor - Internal,46810.01,49150.51
2026-02-06,Project Hoppers,Post-Prod & Sound,Vendor Contract,326485.02,408106.28
2026-03-17,Project Hoppers,Marketing,Travel & Casting,212877.72,202233.83
2026-02-17,Toy Story 5,Pre-Production & Story,Travel & Casting,108879.22,92547.34
2026-03-11,Toy Story 5,RENDERING,Vendor Contract,40506.76,42532.1
2026-02-22,Project Hoppers,Tech Ops - Render,Labor - Internal,"$238,851.50",250794.08
2026-02-21,Toy Story 5,Tech Ops - Render,Travel & Casting,192977.29,183328.43
2026-02-11,Franchise Shorts,Tech Ops - Render,Equipment Lease,198839.73,208781.72
2026-02-05,Project Elio,Animation & Prod,Travel & Casting,191354.31,181786.59
2026-03-30,Project Hoppers,Marketing,Travel & Casting,375891.18,319507.5
2026-01-13,Project Hoppers,RENDERING,Travel & Casting,"$373,075.46",522305.64
2026-01-12,Toy Story 5,Marketing,Vendor Contract,424863.01,594808.21
2026-03-06,Franchise Shorts,Marketing,Compute/Cloud Infrastructure,297516.96,371896.2
2026-01-09,Project Elio,Anim & Production,Labor - Internal,364765.76,383004.05
2026-02-01,Franchise Shorts,Marketing,Labor - Internal,"$180,584.24",171555.03
2026-02-15,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,415697.82,581976.95
2026-03-21,Franchise Shorts,Animation & Prod,Travel & Casting,169321.65,177787.73
2026-02-19,Franchise Shorts,RENDERING,Vendor Contract,113015.82,141269.78
2026-01-14,Project Elio,Pre-Production & Story,Equipment Lease,106571.06,90585.4
02/12/2026,Toy Story 5,Tech Ops - Render,Labor - Internal,81637.66,85719.54
2026-03-10,Project Elio,Post-Prod & Sound,Labor - Internal,226908.38,238253.8
2026-02-01,Project Hoppers,Tech Ops - Render,Compute/Cloud Infrastructure,123163.02,129321.17
2026-03-03,,Post-Prod & Sound,Labor - Internal,381955.24,534737.34
2026-01-30,Toy Story 5,Post-Prod & Sound,Compute/Cloud Infrastructure,75995.22,"$94,994.02"
2026-03-18,Toy Story 5,Anim & Production,Travel & Casting,345503.09,483704.33
03/09/2026,Project Hoppers,Post-Prod & Sound,Travel & Casting,285510.44,356888.05
2026-01-05,Franchise Shorts,Pre-Production & Story,Travel & Casting,481159.75,673623.65
2026-02-16,Project Hoppers,Animation & Prod,Equipment Lease,323837.66,307645.78
03/03/2026,Toy Story 5,Marketing,Equipment Lease,35861.75,30482.49
2026-01-24,Toy Story 5,Animation & Prod,Equipment Lease,41827.51,"$58,558.51"
2026-02-18,Franchise Shorts,Marketing,Vendor Contract,209377.49,177970.87
2026-03-06,Toy Story 5,Post-Prod & Sound,Travel & Casting,"$463,274.95",-648584.93
2026-03-04,Project Hoppers,RENDERING,Compute/Cloud Infrastructure,412445.84,-515557.3
2026-02-06,Franchise Shorts,Pre-Production & Story,Compute/Cloud Infrastructure,163475.97,155302.17
2026-01-31,Project Elio,RENDERING,Compute/Cloud Infrastructure,389866.16,487332.7
03/03/2026,Franchise Shorts,Pre-Production & Story,Compute/Cloud Infrastructure,26748.37,25410.95
03/05/2026,,Pre-Production & Story,Equipment Lease,342344.97,359462.22
2026-03-31,Franchise Shorts,Marketing,Vendor Contract,41863.01,58608.21
2026-01-23,Franchise Shorts,Marketing,Vendor Contract,212299.01,"$265,373.76"
2026-01-06,Project Elio,Anim & Production,Travel & Casting,318011.48,270309.76
2026-02-22,Franchise Shorts,Pre-Production & Story,Compute/Cloud Infrastructure,240767.76,204652.6
2026-01-05,Project Hoppers,Marketing,Labor - Internal,56341.61,59158.69
2026-01-31,Project Hoppers,Tech Ops - Render,Vendor Contract,114585.81,108856.52
2026-01-20,Project Hoppers,Animation & Prod,Equipment Lease,62464.27,"$53,094.63"
03/26/2026,Toy Story 5,Pre-Production & Story,Labor - Internal,305169.44,289910.97
02/21/2026,Project Elio,Pre-Production & Story,Travel & Casting,"$390,770.04","$488,462.55"
2026-02-02,Project Hoppers,Pre-Production & Story,Equipment Lease,365508.96,456886.2
2026-03-22,Project Hoppers,Post-Prod & Sound,Labor - Internal,466679.23,396677.35
2026-03-01,Toy Story 5,Post-Prod & Sound,Vendor Contract,498212.34,473301.72
2026-01-09,Project Hoppers,RENDERING,Labor - Internal,51174.29,53733.0
02/04/2026,Franchise Shorts,Post-Prod & Sound,Labor - Internal,279235.38,293197.15
2026-01-19,Toy Story 5,Anim & Production,Compute/Cloud Infrastructure,"$338,364.30",422955.38
02/09/2026,Project Hoppers,Pre-Production & Story,Labor - Internal,440596.72,374507.21
2026-02-26,Toy Story 5,Anim & Production,Vendor Contract,260364.78,247346.54
2026-02-25,Project Hoppers,RENDERING,Compute/Cloud Infrastructure,225052.32,315073.25
2026-03-12,Franchise Shorts,Animation & Prod,Compute/Cloud Infrastructure,135849.6,190189.44
2026-02-20,Project Hoppers,Post-Prod & Sound,Vendor Contract,"$49,503.73",42078.17
2026-02-10,Franchise Shorts,Tech Ops - Render,Compute/Cloud Infrastructure,95064.63,80804.94
03/07/2026,Project Hoppers,Pre-Production & Story,Vendor Contract,278439.89,348049.86
2026-02-25,Project Elio,Marketing,Vendor Contract,224354.26,"$314,095.96"
2026-01-20,Project Hoppers,Animation & Prod,Travel & Casting,21938.84,30714.38
2026-01-24,Project Elio,Marketing,Compute/Cloud Infrastructure,381213.66,533699.12
2026-01-25,Project Hoppers,Tech Ops - Render,Compute/Cloud Infrastructure,48184.58,50593.81
2026-01-21,Project Elio,Post-Prod & Sound,Equipment Lease,"$153,837.74",161529.63
2026-02-26,Project Elio,Post-Prod & Sound,Labor - Internal,371392.99,315684.04
2026-02-19,Franchise Shorts,Post-Prod & Sound,Equipment Lease,207805.03,218195.28
2026-03-25,Toy Story 5,Pre-Production & Story,Equipment Lease,404895.47,566853.66
2026-01-16,Franchise Shorts,Tech Ops - Render,Vendor Contract,362659.12,344526.16
2026-03-09,Toy Story 5,Marketing,Travel & Casting,326896.05,457654.47
2026-01-08,Project Elio,Tech Ops - Render,Labor - Internal,256158.98,"$217,735.13"
2026-02-12,Toy Story 5,Tech Ops - Render,Vendor Contract,140214.39,175267.99
2026-03-21,Project Hoppers,Post-Prod & Sound,Compute/Cloud Infrastructure,269123.35,"$282,579.52"
2026-01-15,Project Hoppers,Marketing,Vendor Contract,268401.62,281821.7
2026-02-18,Toy Story 5,Post-Prod & Sound,Travel & Casting,245070.77,343099.08
2026-02-22,Franchise Shorts,Post-Prod & Sound,Labor - Internal,"$459,750.86",574688.57
2026-02-02,Project Elio,Tech Ops - Render,Equipment Lease,176502.89,"$150,027.46"
2026-02-17,Project Hoppers,Tech Ops - Render,Vendor Contract,26005.04,27305.29
2026-02-13,Project Elio,Post-Prod & Sound,Compute/Cloud Infrastructure,34641.5,32909.42
2026-01-31,Toy Story 5,Anim & Production,Compute/Cloud Infrastructure,20299.54,19284.56
2026-01-21,Toy Story 5,Post-Prod & Sound,Vendor Contract,495553.76,619442.2
01/05/2026,Project Hoppers,Post-Prod & Sound,Compute/Cloud Infrastructure,231106.68,242662.01
2026-03-19,Franchise Shorts,Post-Prod & Sound,Labor - Internal,"$377,633.70",396515.39
2026-01-23,Toy Story 5,Tech Ops - Render,Compute/Cloud Infrastructure,421745.94,442833.24
2026-01-01,Project Hoppers,Marketing,Labor - Internal,374775.27,393514.03
2026-02-23,Project Hoppers,Animation & Prod,Travel & Casting,92907.82,97553.21
2026-01-27,Project Elio,Marketing,Compute/Cloud Infrastructure,281722.44,239464.07
2026-01-21,,Marketing,Compute/Cloud Infrastructure,"$426,930.72",448277.26
2026-02-01,Project Elio,Pre-Production & Story,Travel & Casting,404030.1,"$383,828.59"
2026-01-08,Franchise Shorts,Post-Prod & Sound,Labor - Internal,427503.84,-363378.26
2026-02-03,Project Elio,Marketing,Travel & Casting,489457.87,685241.02
2026-03-07,Toy Story 5,Pre-Production & Story,Vendor Contract,319737.72,447632.81
01/20/2026,Franchise Shorts,RENDERING,Vendor Contract,166325.53,207906.91
2026-03-30,Franchise Shorts,Anim & Production,Vendor Contract,405845.47,385553.2
2026-01-11,Project Hoppers,Marketing,Compute/Cloud Infrastructure,"$299,457.65",314430.53
2026-01-01,,Animation & Prod,Labor - Internal,"$475,367.35",499135.72
2026-03-07,,Pre-Production & Story,Vendor Contract,293961.99,308660.09
2026-03-11,Project Hoppers,Anim & Production,Compute/Cloud Infrastructure,"$397,645.71",556703.99
2026-01-17,Franchise Shorts,Tech Ops - Render,Vendor Contract,270145.68,"$337,682.10"
2026-01-30,Toy Story 5,Anim & Production,Labor - Internal,149228.45,"$126,844.18"
2026-02-24,Project Elio,RENDERING,Labor - Internal,373629.23,467036.54
2026-03-30,Project Elio,Post-Prod & Sound,Travel & Casting,"$161,601.93",169682.03
2026-03-21,Franchise Shorts,Tech Ops - Render,Travel & Casting,305954.05,428335.67
01/13/2026,Project Elio,Marketing,Vendor Contract,152885.21,129952.43
2026-02-24,Toy Story 5,Tech Ops - Render,Vendor Contract,54294.94,51580.19
2026-01-31,Toy Story 5,Tech Ops - Render,Equipment Lease,488149.21,683408.89
2026-03-12,Project Hoppers,Animation & Prod,Labor - Internal,308368.16,323786.57
2026-02-06,Toy Story 5,Tech Ops - Render,Labor - Internal,149006.35,126655.4
2026-03-09,Toy Story 5,Marketing,Equipment Lease,379915.36,531881.5
2026-02-02,Toy Story 5,Animation & Prod,Vendor Contract,31106.03,43548.44
2026-03-20,Project Hoppers,RENDERING,Labor - Internal,415312.88,394547.24
02/25/2026,Franchise Shorts,Marketing,Compute/Cloud Infrastructure,45089.84,"$63,125.78"
2026-01-17,Project Hoppers,Post-Prod & Sound,Labor - Internal,307610.63,292230.1
2026-01-15,Project Elio,Anim & Production,Equipment Lease,357639.34,375521.31
2026-03-28,Franchise Shorts,RENDERING,Vendor Contract,"$498,061.16",423351.99
2026-03-31,,Animation & Prod,Equipment Lease,353108.59,494352.03
2026-03-16,Franchise Shorts,Anim & Production,Travel & Casting,"$396,871.56",496089.45
2026-01-05,Project Elio,Anim & Production,Vendor Contract,153570.09,145891.59
01/25/2026,Project Elio,RENDERING,Travel & Casting,382727.8,401864.19
2026-03-22,Project Elio,Marketing,Vendor Contract,464867.18,650814.05
03/23/2026,Toy Story 5,Tech Ops - Render,Labor - Internal,498300.1,523215.1
2026-01-14,Project Hoppers,Marketing,Vendor Contract,143930.54,"$179,913.18"
2026-02-15,Project Elio,Animation & Prod,Vendor Contract,486573.02,462244.37
2026-02-09,Toy Story 5,Animation & Prod,Equipment Lease,414251.39,579951.95
2026-02-13,Project Hoppers,Animation & Prod,Compute/Cloud Infrastructure,465685.28,"$395,832.49"
2026-02-26,Franchise Shorts,Marketing,Labor - Internal,"$412,029.60",432631.08
2026-03-30,Toy Story 5,RENDERING,Equipment Lease,316652.2,269154.37
2026-01-21,Project Elio,Tech Ops - Render,Vendor Contract,220879.94,309231.92
2026-01-05,Franchise Shorts,RENDERING,Vendor Contract,361969.61,452462.01
2026-01-17,Project Elio,Pre-Production & Story,Travel & Casting,65138.02,"$91,193.23"
2026-01-30,Project Hoppers,Tech Ops - Render,Compute/Cloud Infrastructure,228612.15,240042.76
2026-01-11,Franchise Shorts,Animation & Prod,Labor - Internal,157119.22,133551.34
2026-03-02,Project Elio,RENDERING,Compute/Cloud Infrastructure,469177.73,445718.84
01/18/2026,Project Elio,Marketing,Vendor Contract,174635.89,148440.51
2026-01-31,Project Hoppers,Marketing,Compute/Cloud Infrastructure,327773.19,311384.53
2026-03-30,Toy Story 5,Marketing,Compute/Cloud Infrastructure,341720.49,427150.61
2026-01-19,Toy Story 5,Animation & Prod,Vendor Contract,"$402,931.38","$503,664.22"
2026-01-16,Project Hoppers,Anim & Production,Equipment Lease,"$57,794.99","$49,125.74"
2026-01-24,Toy Story 5,RENDERING,Labor - Internal,"$73,573.00",77251.65
2026-03-27,Project Elio,Animation & Prod,Vendor Contract,65758.05,82197.56
2026-01-18,Franchise Shorts,Tech Ops - Render,Vendor Contract,57212.08,54351.48
2026-03-11,Toy Story 5,Pre-Production & Story,Labor - Internal,"$483,814.73",508005.47
2026-03-19,Project Hoppers,Pre-Production & Story,Equipment Lease,89985.12,85485.86
2026-03-03,Toy Story 5,Tech Ops - Render,Vendor Contract,432486.84,"$540,608.55"
01/21/2026,Toy Story 5,Marketing,Labor - Internal,377135.09,320564.83
2026-01-05,Toy Story 5,Anim & Production,Compute/Cloud Infrastructure,244378.52,232159.59
